5.955000 0.000000 0.000000
-2.977500 5.157181 0.000000
0.000000 0.000000 32.155500
1.000000 0.000000 0.000000
0.000000 1.000000 0.000000
-0.000000 -0.000000 1.000000
0.666670 0.833330 0.289010 Ag_T
0.166670 0.833330 0.289010 Ag_T
0.666670 0.333330 0.289010 Ag_T
0.166670 0.333330 0.289010 Ag_T
0.833330 0.166670 0.364620 Ag_T
0.333330 0.166670 0.364620 Ag_T
0.333330 0.666670 0.364620 Ag_T
0.833330 0.666670 0.364620 Ag_T
1.000000 0.500000 0.440220 Ag_T
0.500000 0.500000 0.440220 Ag_T
1.000000 1.000000 0.440220 Ag_T
0.500000 1.000000 0.440220 Ag_T
0.666670 0.333330 0.062200 Ag_F
0.666670 0.833330 0.062200 Ag_F
0.166670 0.833330 0.062200 Ag_F
0.166670 0.333330 0.062200 Ag_F
0.333330 0.666670 0.137800 Ag_F
0.333330 0.166670 0.137800 Ag_F
0.833330 0.166670 0.137800 Ag_F
0.833330 0.666670 0.137800 Ag_F
1.000000 0.500000 0.213410 Ag_F
1.000000 1.000000 0.213410 Ag_F
0.500000 0.500000 0.213410 Ag_F
0.500000 1.000000 0.213410 Ag_F
