2.9775 -5.15718 0
-5.955 0 0
0 0 -32.1555
1 0 0
0 1 0
0 0 1
0.0073497865373846 0.5147089133918857 0.5740292308518913	Ag_T
0.6666699999476435 0.3333299999738202 0.9378000000000029	Ag_F
0.1666699999476435 0.3333299999738202 0.9378000000000029	Ag_F
0.1666699999476435 0.8333299999738202 0.9378000000000029	Ag_F
0.6666699999476435 0.8333299999738202 0.9378000000000029	Ag_F
0.3333300000523565 0.6666700000261798 0.8622000000000014	Ag_F
0.8333300000523565 0.6666700000261798 0.8622000000000014	Ag_F
0.8333300000523565 0.1666700000261798 0.8622000000000014	Ag_F
0.3333300000523565 0.1666700000261798 0.8622000000000014	Ag_F
0.5000000000000000 0.0000000000000000 0.7865899999999968	Ag_F
0.0000000000000000 0.0000000000000000 0.7865899999999968	Ag_F
0.5000000000000000 0.5000000000000000 0.7865899999999968	Ag_F
0.0000000000000000 0.5000000000000000 0.7865899999999968	Ag_F
0.1662716000943438 0.8325773306646405 0.7153519301015829	Pd_T
0.6654181680992475 0.8308295709818702 0.7165274899157010	Pd_T
0.8362343611172336 0.6709563196671575 0.6466002554755932	Pd_T
0.3346873877957668 0.6708778972675977 0.6465971014096941	Pd_T
0.5088707652232215 0.0192379134537332 0.5808349966063541	Pd_T
0.5006972764552966 0.5013926127365697 0.5793584176935187	Pd_T
0.0103479451210155 0.0192144388264618 0.5808224852439945	Pd_T
0.1656188760434420 0.3321231660432022 0.7138424695311638	Pt_T
0.6665161500934053 0.3321320610769666 0.7138489572646304	Pt_T
0.8360132065025874 0.1720179246764644 0.6478547548230360	Pt_T
0.3353564591793688 0.1707024342210640 0.6480236014356364	Pt_T
