2.9775 -5.15718 0
-5.955 0 0
0 0 -32.1555
1 0 0
0 1 0
0 0 1
-0.0000024309253931 0.5000024309253930 0.5710201841578773	Ag_T
0.6666699999476435 0.3333299999738202 0.9378000000000029	Ag_F
0.1666699999476435 0.3333299999738202 0.9378000000000029	Ag_F
0.1666699999476435 0.8333299999738202 0.9378000000000029	Ag_F
0.6666699999476435 0.8333299999738202 0.9378000000000029	Ag_F
0.3333300000523565 0.6666700000261798 0.8622000000000014	Ag_F
0.8333300000523565 0.6666700000261798 0.8622000000000014	Ag_F
0.8333300000523565 0.1666700000261798 0.8622000000000014	Ag_F
0.3333300000523565 0.1666700000261798 0.8622000000000014	Ag_F
0.5000000000000000 0.0000000000000000 0.7865899999999968	Ag_F
0.0000000000000000 0.0000000000000000 0.7865899999999968	Ag_F
0.5000000000000000 0.5000000000000000 0.7865899999999968	Ag_F
0.0000000000000000 0.5000000000000000 0.7865899999999968	Ag_F
0.3333313712933521 0.1666686287851843 0.6468852275015192	Pd_T
0.1662923640789761 0.3337076358424877 0.7139327285021857	Pt_T
0.1662941149935833 0.8325803774140961 0.7139337118457721	Pt_T
0.6674196225073676 0.3337058849278804 0.7139337118457721	Pt_T
0.6666676970873023 0.8333323028341614 0.7160039035098065	Pt_T
0.8352421912171661 0.1704832507332550 0.6469025106125992	Pt_T
0.8352433289491477 0.6647566711293885 0.6469023024308259	Pt_T
0.3295167493452813 0.6647578088613701 0.6469025106125992	Pt_T
0.5013757090271084 -0.0013757090271085 0.5805438957222185	Pt_T
0.5013686973763795 0.5027504494587119 0.5805419306242242	Pt_T
-0.0027504494587121 -0.0013686973763794 0.5805419306242242	Pt_T
