5.955000 0.000000 0.000000
-2.977500 5.157181 0.000000
0.000000 0.000000 32.155500
0.000000 -1.000000 0.000000
-1.000000 0.000000 0.000000
0.000000 0.000000 -1.000000
-0.333330 -0.166670 -0.710990 Pt_T
-0.833330 -0.166670 -0.710990 Pd_T
-0.333330 -0.666670 -0.710990 Pt_T
-0.833330 -0.666670 -0.710990 Pd_T
-0.166670 -0.833330 -0.635380 Pt_T
-0.666670 -0.833330 -0.635380 Ag_T
-0.666670 -0.333330 -0.635380 Ag_T
-0.166670 -0.333330 -0.635380 Ag_T
-1.000000 -0.500000 -0.559780 Ag_T
-0.500000 -0.500000 -0.559780 Ag_T
-1.000000 -1.000000 -0.559780 Ag_T
-0.500000 -1.000000 -0.559780 Ag_T
-0.333330 -0.666670 -0.937800 Ag_F
-0.333330 -0.166670 -0.937800 Ag_F
-0.833330 -0.166670 -0.937800 Ag_F
-0.833330 -0.666670 -0.937800 Ag_F
-0.666670 -0.333330 -0.862200 Ag_F
-0.666670 -0.833330 -0.862200 Ag_F
-0.166670 -0.833330 -0.862200 Ag_F
-0.166670 -0.333330 -0.862200 Ag_F
-1.000000 -0.500000 -0.786590 Ag_F
-1.000000 -1.000000 -0.786590 Ag_F
-0.500000 -0.500000 -0.786590 Ag_F
-0.500000 -1.000000 -0.786590 Ag_F
